Participant ID,agreeableness,conscientiousness,extraversion,neuroticism,openness,,,agreeableness,conscientiousness,extraversion,neuroticism,openness,,,,,,
P147,0.45,0.8,0.86,0,0.5,,,,,,,,,,,,,
P148,0.85,0.08,0.69,0.47,0.19,,,,,,,,,,,,,
P151,0.4,0.76,0.69,0.4,0.77,,,,,,,,,,,,,
P153,0.4,0.32,0.21,0.47,0.73,,,,,,,,,,,,,
P154,0.1,0.28,0.45,0.77,0.85,,,,,,,,,,,,,
P157,,,,,,,,,,,,,,,,,,
P158,0.55,0.12,1,0.27,0.81,,,,,,,,,,,,,
P160,0.3,0.44,0.24,0.73,0.23,,,,,,,,,,,,,
P164,,,,,,,,,,,,,,,,,,
P167,0.65,0.52,0.79,0.13,0.85,,,,,,,,,,,,,
P169,,,,,,,,,,,,,,,,,,
P170,0.7,0.6,0.83,0.33,0.62,,,,,,,,,,,,,
P173,0.55,0.48,0.93,0.47,1,,,,,,,,,,,,,
P174,0.65,0.24,0.59,0.27,0.12,,,,,,,,,,,,,
P175,0.5,0.28,0.62,0.63,0.5,,,,,,,,,,,,,
P179,0.6,0.92,0.83,0.37,0.65,,,,,,,,,,,,,
P181,0.5,0.52,0.76,0.4,0.62,,,,,,,,,,,,,
P186,0.3,0.36,0.59,0.57,0.27,,,,,,,,,,,,,
P188,0.4,0.16,0.69,0.73,0.46,,,,,,,,,,,,,
P190,,,,,,,,,,,,,,,,,,
P191,,,,,,,,,,,,,,,,,,
P207,0.5,0.64,0.28,0.43,0.38,,,,,,,,,,,,,
P208,0.3,0.2,0.76,0.3,0.27,,,,,,,,,,,,,
P210,0.05,0.6,0.62,0.37,0.46,,,,,,,,,,,,,
P220,0.15,0.48,0.48,0.37,0.23,,,,,,,,,,,,,
T001,0.2,0.36,0.45,0.67,0.58,,,,,,,,,,,,,
T002,0.35,0.4,0.52,0.7,0.69,,,,,,,,,,,,,
